COUNTRYCODE,YEAR,MILITARYSPENDINGGDP
DZA,1985,1.6437068
DZA,1986,1.7872136
DZA,1987,1.8563762
DZA,1988,1.7496989
DZA,1989,1.5401238
DZA,1990,1.4610705
DZA,1991,1.210834
DZA,1992,2.1401322
DZA,1993,2.5056314
DZA,1994,3.14643
DZA,1995,2.9350271
DZA,1996,3.0940886
DZA,1997,3.6374037
DZA,1998,3.965674
DZA,1999,3.75508
DZA,2000,3.433394
DZA,2001,3.5204628
DZA,2002,3.4147196
DZA,2003,3.0026245
DZA,2004,3.048757
DZA,2005,2.732286
DZA,2006,2.513707
DZA,2007,2.7693284
DZA,2008,2.867406
DZA,2009,3.5129602
DZA,2010,3.1899817
DZA,2011,3.9628825
DZA,2012,4.1058984
DZA,2013,4.423825
DZA,2014,4.9648786
DZA,2015,5.550742
DZA,2016,5.652718
DZA,2017,5.307115
DZA,2018,4.929927
DZA,2019,5.326958
DZA,2020,5.8861485
DZA,2021,4.890033
DZA,2022,4.0574884
DZA,2023,7.3903933
DZA,2024,7.9714575
ASM,2023,
AND,2023,
AGO,1985,1.715e-05
AGO,1986,1.73e-05
AGO,1987,22.25
AGO,1988,21.9805
AGO,1989,19.432333
AGO,1990,17.463667
AGO,1991,7.1025
AGO,1992,5.6828303
AGO,1993,17.522589
AGO,1994,5.709281
AGO,1995,4.7073927
AGO,1996,2.4478483
AGO,1997,5.972268
AGO,1998,2.642012
AGO,1999,17.334692
AGO,2000,6.3926034
AGO,2001,4.524354
AGO,2002,2.8699324
AGO,2003,3.7614794
AGO,2004,3.47118
AGO,2005,3.692241
AGO,2006,3.7614954
AGO,2007,3.1140544
AGO,2008,3.5731204
AGO,2009,4.70961
AGO,2010,4.1775846
AGO,2011,3.2556605
AGO,2012,3.2366595
AGO,2013,4.4552393
AGO,2014,4.6984544
AGO,2015,3.1054263
AGO,2016,2.733335
AGO,2017,2.5079827
AGO,2018,1.9557867
AGO,2019,1.7679144
AGO,2020,1.8104292
AGO,2021,1.3932226
AGO,2022,1.4101636
AGO,2023,1.4072554
AGO,2024,1.0004921
AIA,2023,
ATG,2023,
ARG,1950,2.9142857
ARG,1959,0.813
ARG,1960,1.55
ARG,1961,2.14
ARG,1962,2.6599998
ARG,1963,1.68
ARG,1964,1.15
ARG,1965,1.07
ARG,1966,1.1680001
ARG,1967,1.4000001
ARG,1968,1.6857144
ARG,1969,1.9375
ARG,1970,1.8777778
ARG,1971,1.8076923
ARG,1972,1.8238095
ARG,1973,1.8485714
ARG,1974,1.6591837
ARG,1975,2.041958
ARG,1976,3.781291
ARG,1977,4.0086
ARG,1978,4.719144
ARG,1979,4.673356
ARG,1980,3.0989583
ARG,1981,3.4653466
ARG,1982,2.704558
ARG,1983,2.7388127
ARG,1984,2.162039
ARG,1985,2.2997172
ARG,1986,2.3136787
ARG,1987,2.2843869
ARG,1988,2.1249392
ARG,1989,1.8803656
ARG,1990,1.4509093
ARG,1991,1.5069265
ARG,1992,1.4212223
ARG,1993,1.4228029
ARG,1994,1.4570385
ARG,1995,1.4730731
ARG,1996,1.2412273
ARG,1997,1.1401391
ARG,1998,1.1363181
ARG,1999,1.2203596
ARG,2000,1.1488227
ARG,2001,1.1842335
ARG,2002,1.0918804
ARG,2003,1.0608951
ARG,2004,0.8832954
ARG,2005,0.84715474
ARG,2006,0.7882339
ARG,2007,0.7925482
ARG,2008,0.76275647
ARG,2009,0.8865085
ARG,2010,0.8148781
ARG,2011,0.76428705
ARG,2012,0.78482467
ARG,2013,0.83773637
ARG,2014,0.87810093
ARG,2015,0.8501286
ARG,2016,0.80924535
ARG,2017,0.84775484
ARG,2018,0.73230034
ARG,2019,0.6996961
ARG,2020,0.73411155
ARG,2021,0.6317886
ARG,2022,0.6845864
ARG,2023,0.75569415
ARG,2024,0.6183504
ARM,1992,2.20339
ARM,1993,2.2966442
ARM,1995,4.059312
ARM,1996,3.281867
ARM,1997,3.9093986
ARM,1998,3.5280962
ARM,1999,3.697374
ARM,2000,3.560025
ARM,2001,3.1272492
ARM,2002,2.6977148
ARM,2003,2.7283723
ARM,2004,2.7419968
ARM,2005,2.8719313
ARM,2006,2.9476132
ARM,2007,3.042575
ARM,2008,3.3955793
ARM,2009,4.15705
ARM,2010,4.265646
ARM,2011,3.8539464
ARM,2012,3.583767
ARM,2013,3.9972446
ARM,2014,3.9433782
ARM,2015,4.239226
ARM,2016,4.090349
ARM,2017,3.8497307
ARM,2018,4.119886
ARM,2019,4.787706
ARM,2020,4.982544
ARM,2021,4.465145
ARM,2022,4.0817456
ARM,2023,5.5062985
ARM,2024,5.481749
ABW,2023,
AUS,1950,2.8779016
AUS,1951,3.73506
AUS,1952,5.180596
AUS,1953,4.7998605
AUS,1954,3.968254
AUS,1955,3.8596141
AUS,1956,3.6706991
AUS,1957,3.3172138
AUS,1958,3.2545605
AUS,1959,3.1032887
AUS,1960,2.3695452
AUS,1961,2.4151397
AUS,1962,2.3636954
AUS,1963,2.4466348
AUS,1964,2.6482427
AUS,1965,2.952293
AUS,1966,3.4513826
AUS,1967,3.793764
AUS,1968,3.8372736
AUS,1969,3.3859198
AUS,1970,2.9660356
AUS,1971,2.7631516
AUS,1972,2.6856205
AUS,1973,2.3793468
AUS,1974,2.2628026
AUS,1975,2.2673156
AUS,1976,2.216612
AUS,1977,2.2472022
AUS,1978,2.2156885
AUS,1979,2.1927292
AUS,1980,2.248957
AUS,1981,2.296602
AUS,1982,2.3932652
AUS,1983,2.5198119
AUS,1984,2.5052338
AUS,1985,2.5232685
AUS,1986,2.5404296
AUS,1987,2.372989
AUS,1988,2.1607518
AUS,1989,2.04853
AUS,1990,2.0763376
AUS,1991,2.1639895
AUS,1992,2.1677127
AUS,1993,2.175446
AUS,1994,2.1137745
AUS,1995,2.0196347
AUS,1996,1.9297256
AUS,1997,1.8648597
AUS,1998,1.8688872
AUS,1999,1.8873618
AUS,2000,1.8244056
AUS,2001,1.8629763
AUS,2002,1.8680315
AUS,2003,1.8425359
AUS,2004,1.8220806
AUS,2005,1.7962877
AUS,2006,1.8177308
AUS,2007,1.811276
AUS,2008,1.7961969
AUS,2009,1.9236552
AUS,2010,1.8525988
AUS,2011,1.7552661
AUS,2012,1.6702816
AUS,2013,1.6381966
AUS,2014,1.7724173
AUS,2015,1.9523263
AUS,2016,2.0896215
AUS,2017,2.0050952
AUS,2018,1.8956201
AUS,2019,1.8800024
AUS,2020,2.0073862
AUS,2021,1.9784769
AUS,2022,1.8832971
AUS,2023,1.8615713
AUS,2024,1.8837883
AUT,1957,1.6268458
AUT,1958,1.8123839
AUT,1959,1.7021112
AUT,1960,1.4581857
AUT,1961,1.3093376
AUT,1962,1.3520719
AUT,1963,1.5796678
AUT,1964,1.8873003
AUT,1965,1.5072135
AUT,1966,1.6244051
AUT,1967,1.6091664
AUT,1968,1.5426748
AUT,1969,1.4992566
AUT,1970,1.38013
AUT,1971,1.246107
AUT,1972,1.2022867
AUT,1973,1.1849886
AUT,1974,1.2768825
AUT,1975,1.4512783
AUT,1976,1.3651968
AUT,1977,1.3459518
AUT,1978,1.4292127
AUT,1979,1.4338458
AUT,1980,1.4202461
AUT,1981,1.3800517
AUT,1982,1.4129968
AUT,1983,1.3911759
AUT,1984,1.4141583
AUT,1985,1.5126235
AUT,1986,1.5087585
AUT,1987,1.4166778
AUT,1988,1.2991811
AUT,1989,1.2341549
AUT,1990,1.1956602
AUT,1991,1.1542171
AUT,1992,1.0992141
AUT,1993,1.1155846
AUT,1994,1.0944531
AUT,1995,1.073232
AUT,1996,1.049683
AUT,1997,1.0464339
AUT,1998,1.0180728
AUT,1999,0.9802462
AUT,2000,0.9839609
AUT,2001,0.9112321
AUT,2002,0.8882973
AUT,2003,0.9154519
AUT,2004,0.8970585
AUT,2005,0.8559373
AUT,2006,0.7914004
AUT,2007,0.90610397
AUT,2008,0.87642056
AUT,2009,0.8385319
AUT,2010,0.8263884
AUT,2011,0.79593194
AUT,2012,0.7835385
AUT,2013,0.7571802
AUT,2014,0.7546496
AUT,2015,0.7025769
AUT,2016,0.7337229
AUT,2017,0.76154065
AUT,2018,0.74899346
AUT,2019,0.7531334
AUT,2020,0.8858116
AUT,2021,0.8735155
AUT,2022,0.766706
AUT,2023,0.87082994
AUT,2024,0.9998431
OWID_AUH,2023,
AZE,1992,2.4002256
AZE,1993,5.000468
AZE,1994,1.9465845
AZE,1995,2.7369013
AZE,1996,2.2542303
AZE,1997,2.3240497
AZE,1998,2.412356
AZE,1999,2.62511
AZE,2000,2.267862
AZE,2001,2.3120627
AZE,2002,2.2433138
AZE,2003,2.4263625
AZE,2004,2.629481
AZE,2005,2.2990696
AZE,2006,3.4177594
AZE,2007,2.8641949
AZE,2008,3.2912114
AZE,2009,3.3254218
AZE,2010,2.7910044
AZE,2011,4.6701355
AZE,2012,4.658618
AZE,2013,4.540923
AZE,2014,4.555013
AZE,2015,5.4648767
AZE,2016,3.6885273
AZE,2017,3.7563019
AZE,2018,3.5492935
AZE,2019,3.8490188
AZE,2020,5.241526
AZE,2021,4.9305177
AZE,2022,3.79537
AZE,2023,4.9224143
AZE,2024,4.9929237
BHS,2023,
BHR,1975,1.5261798
BHR,1976,1.7522871
BHR,1977,2.077922
BHR,1978,4.9581313
BHR,1979,5.8927517
BHR,1980,5.698891
BHR,1981,6.902581
BHR,1982,8.535162
BHR,1983,4.7903357
BHR,1984,4.1793056
BHR,1985,4.588158
BHR,1986,5.8377624
BHR,1987,5.253254
BHR,1988,5.6030455
BHR,1989,5.6446614
BHR,1990,5.2847915
BHR,1991,5.7037506
BHR,1992,5.878072
BHR,1993,5.369855
BHR,1994,5.111302
BHR,1995,5.183232
BHR,1996,5.2739396
BHR,1997,5.068487
BHR,1998,5.333104
BHR,1999,5.5036216
BHR,2000,3.961671
BHR,2001,4.148082
BHR,2002,4.6111064
BHR,2003,4.6588326
BHR,2004,4.0449286
BHR,2005,3.2143812
BHR,2006,3.1029477
BHR,2007,2.9569902
BHR,2008,2.8001614
BHR,2009,3.6105354
BHR,2010,3.2778237
BHR,2011,3.5914972
BHR,2012,3.8444905
BHR,2013,4.141398
BHR,2014,4.418512
BHR,2015,4.644111
BHR,2016,4.670635
BHR,2017,4.320738
BHR,2018,4.041086
BHR,2019,4.029861
BHR,2020,4.0574684
BHR,2021,3.5197968
BHR,2022,3.4233935
BHR,2023,3.5208356
BHR,2024,2.8946655
BGD,1973,0.6567205
BGD,1974,0.6043035
BGD,1975,0.8447833
BGD,1976,1.5236789
BGD,1977,1.5699778
BGD,1978,1.2689853
BGD,1979,0.9342929
BGD,1980,0.8574208
BGD,1981,0.9158317
BGD,1982,1.0608697
BGD,1983,1.2706738
BGD,1984,1.1780419
BGD,1985,1.0542728
BGD,1986,1.1121917
BGD,1987,1.1682326
BGD,1988,1.2463881
BGD,1989,1.2908618
BGD,1990,1.223165
BGD,1991,1.2144228
BGD,1992,1.3605031
BGD,1993,1.4293905
BGD,1994,1.5290236
BGD,1995,1.5666932
BGD,1996,1.5390736
BGD,1997,1.5716679
BGD,1998,1.5675353
BGD,1999,1.5848345
BGD,2000,1.3571192
BGD,2001,1.2884227
BGD,2002,1.0483664
BGD,2003,1.0026331
BGD,2004,0.99885976
BGD,2005,0.9728101
BGD,2006,0.9898389
BGD,2007,0.99709195
BGD,2008,0.9382153
BGD,2009,1.0289395
BGD,2010,1.1843841
BGD,2011,1.217669
BGD,2012,1.1808972
BGD,2013,1.1137295
BGD,2014,1.1364433
BGD,2015,1.2085172
BGD,2016,1.2259004
BGD,2017,1.1275814
BGD,2018,1.1539575
BGD,2019,1.2441008
BGD,2020,1.2446895
BGD,2021,1.1687306
BGD,2022,0.99098337
BGD,2023,0.9194715
BGD,2024,0.94132113
BRB,2023,
BLR,1992,1.6224986
BLR,1993,2.7909715
BLR,1994,3.6216085
BLR,1995,1.6994638
BLR,1996,1.2606925
BLR,1997,1.7689666
BLR,1998,1.4950987
BLR,1999,1.3667607
BLR,2000,1.3469841
BLR,2001,1.4382907
BLR,2002,1.4002458
BLR,2003,1.2990639
BLR,2004,1.3582224
BLR,2005,1.4984531
BLR,2006,1.7094125
BLR,2007,1.6497658
BLR,2008,1.4534929
BLR,2009,1.372577
BLR,2010,1.3413835
BLR,2011,1.224495
BLR,2012,1.2292187
BLR,2013,1.2707967
BLR,2014,1.0423276
BLR,2015,1.138066
BLR,2016,1.5232809
BLR,2017,1.3720045
BLR,2018,1.5379943
BLR,2019,1.396423
BLR,2020,1.4032586
BLR,2021,1.3652893
BLR,2022,1.6486932
BLR,2023,2.0234478
BLR,2024,2.0736492
BEL,1953,4.862558
BEL,1954,4.880254
BEL,1955,3.7834115
BEL,1956,3.558163
BEL,1957,3.6083996
BEL,1958,3.5709567
BEL,1959,3.5183356
BEL,1960,3.3973477
BEL,1961,3.2590702
BEL,1962,3.284752
BEL,1963,3.216631
BEL,1964,3.2134717
BEL,1965,2.9730637
BEL,1966,3.112586
BEL,1967,3.1345816
BEL,1968,3.11509
BEL,1969,2.931815
BEL,1970,2.9186401
BEL,1971,2.898926
BEL,1972,2.8807602
BEL,1973,2.8353112
BEL,1974,2.7614162
BEL,1975,3.0650346
BEL,1976,3.0933695
BEL,1977,3.1432488
BEL,1978,3.2615223
BEL,1979,3.261345
BEL,1980,3.2501955
BEL,1981,3.3660493
BEL,1982,3.2699447
BEL,1983,3.191413
BEL,1984,3.0079024
BEL,1985,2.931234
BEL,1986,2.9537725
BEL,1987,2.9017947
BEL,1988,2.6287484
BEL,1989,2.4608543
BEL,1990,2.3554406
BEL,1991,2.2876928
BEL,1992,1.8323325
BEL,1993,1.735966
BEL,1994,1.6771432
BEL,1995,1.5446405
BEL,1996,1.5193168
BEL,1997,1.4578662
BEL,1998,1.4173958
BEL,1999,1.3939307
BEL,2000,1.3508654
BEL,2001,1.2835232
BEL,2002,1.2237613
BEL,2003,1.221194
BEL,2004,1.1565944
BEL,2005,1.0966412
BEL,2006,1.056123
BEL,2007,1.0980188
BEL,2008,1.2219145
BEL,2009,1.1635301
BEL,2010,1.0901811
BEL,2011,1.0445012
BEL,2012,1.0370296
BEL,2013,1.00452
BEL,2014,0.9662723
BEL,2015,0.91183
BEL,2016,0.89808524
BEL,2017,0.8868372
BEL,2018,0.89244246
BEL,2019,0.8870049
BEL,2020,1.0059279
BEL,2021,1.04264
BEL,2022,1.1624655
BEL,2023,1.1842287
BEL,2024,1.2770531
BLZ,1978,0.5751965
BLZ,1979,0.79904395
BLZ,1980,0.8637822
BLZ,1981,1.15897
BLZ,1982,1.4375871
BLZ,1983,1.534381
BLZ,1984,1.5439188
BLZ,1985,1.559826
BLZ,1989,1.1991115
BLZ,1990,0.8947432
BLZ,1991,0.81816846
BLZ,1992,0.7880943
BLZ,1993,0.8440879
BLZ,1994,1.0528872
BLZ,1995,1.0113298
BLZ,1996,0.96203834
BLZ,1997,1.1114246
BLZ,2000,0.6574006
BLZ,2001,0.66013384
BLZ,2002,0.65317935
BLZ,2003,0.67481077
BLZ,2004,0.69936246
BLZ,2005,0.75074714
BLZ,2006,0.77060366
BLZ,2007,0.80472165
BLZ,2008,1.0740801
BLZ,2009,1.0202595
BLZ,2010,0.87634695
BLZ,2011,0.842256
BLZ,2012,0.7961654
BLZ,2013,0.87401056
BLZ,2014,0.93131316
BLZ,2015,0.89283055
BLZ,2016,0.9627582
BLZ,2017,1.0106679
BLZ,2018,1.0113212
BLZ,2019,1.016627
BLZ,2020,1.2662379
BLZ,2021,1.0975103
BLZ,2022,0.9791737
BLZ,2023,0.99293375
BLZ,2024,0.8988859
BEN,1960,0.87158465
BEN,1961,1.3952879
BEN,1962,1.7516339
BEN,1963,1.7368422
BEN,1964,2.181699
BEN,1965,2.1065087
BEN,1966,1.9002326
BEN,1967,1.9762522
BEN,1968,2.0721247
BEN,1969,1.8947369
BEN,1970,1.6252816
BEN,1971,1.601042
BEN,1972,1.4877943
BEN,1973,1.677528
BEN,1974,1.4423792
BEN,1975,1.4929078
BEN,1976,1.2816479
BEN,1977,1.678788
BEN,1978,1.194307
BEN,1979,1.93046
BEN,1980,2.0316515
BEN,1981,1.5513713
BEN,1982,1.0492986
BEN,1983,1.1889707
BEN,1984,1.458699
BEN,1985,1.3049319
BEN,1986,1.3550965
BEN,1987,1.5695986
BEN,1988,1.5640912
BEN,1989,1.307896
BEN,1990,1.225157
BEN,1999,0.4853892
BEN,2000,0.41285232
BEN,2001,0.35797113
BEN,2002,0.6228195
BEN,2003,0.64722323
BEN,2004,0.67614985
BEN,2005,0.68097067
BEN,2006,0.6657233
BEN,2008,0.663959
BEN,2012,0.70205617
BEN,2013,0.6872397
BEN,2014,0.700925
BEN,2015,0.79848534
BEN,2016,0.67359674
BEN,2017,0.9206131
BEN,2018,0.63285756
BEN,2019,0.47331393
BEN,2020,0.458762
BEN,2021,0.55088365
BEN,2022,0.6320875
BEN,2023,0.7575514
BEN,2024,0.7205496
BMU,2023,
BTN,2023,
BOL,1953,0.5275473
BOL,1955,0.3168843
BOL,1956,0.3558946
BOL,1957,0.818611
BOL,1961,1.203464
BOL,1962,1.1587
BOL,1963,1.3264121
BOL,1968,1.3501523
BOL,1969,1.3182249
BOL,1970,1.6122165
BOL,1971,1.3915857
BOL,1972,1.5955418
BOL,1973,1.6226362
BOL,1974,1.8366542
BOL,1975,2.371237
BOL,1976,2.3671565
BOL,1977,2.2474995
BOL,1978,2.59897
BOL,1979,2.708461
BOL,1980,3.1723998
BOL,1981,3.9022033
BOL,1982,1.9818474
BOL,1983,1.4993206
BOL,1984,2.1708417
BOL,1985,2.0139925
BOL,1986,2.3455493
BOL,1987,2.377263
BOL,1988,2.0209813
BOL,1989,2.1562886
BOL,1990,2.8158832
BOL,1991,2.688325
BOL,1992,2.5061188
BOL,1993,1.9163499
BOL,1994,2.2503014
BOL,1995,2.096162
BOL,1996,1.9868076
BOL,1997,2.27361
BOL,1998,2.6911108
BOL,1999,2.1332872
BOL,2000,2.0629716
BOL,2001,2.3204467
BOL,2002,1.9903338
BOL,2003,2.1454833
BOL,2004,1.8965033
BOL,2005,1.7170044
BOL,2006,1.4662269
BOL,2007,1.4890476
BOL,2008,2.1939516
BOL,2009,1.7613609
BOL,2010,2.7850072
BOL,2011,1.6841227
BOL,2012,1.8456064
BOL,2013,1.8412404
BOL,2014,1.8969151
BOL,2015,1.759436
BOL,2016,1.5304679
BOL,2017,1.5364274
BOL,2018,1.4969026
BOL,2019,1.4512709
BOL,2020,1.3920475
BOL,2021,1.3257995
BOL,2022,0.9732509
BOL,2023,1.3043084
BOL,2024,1.3706636
BES,2023,
BIH,2002,3.904373
BIH,2003,2.4166977
BIH,2004,1.8896029
BIH,2005,1.5442196
BIH,2006,1.3865335
BIH,2007,1.2361529
BIH,2008,1.220612
BIH,2009,1.3765862
BIH,2010,1.2803415
BIH,2011,1.1364303
BIH,2012,1.145572
BIH,2013,1.0870558
BIH,2014,1.0258268
BIH,2015,0.9888576
BIH,2016,0.9227723
BIH,2017,0.8525936
BIH,2018,0.84004736
BIH,2019,0.80732423
BIH,2020,0.8272983
BIH,2021,0.8861336
BIH,2022,0.7520287
BIH,2023,0.71763
BIH,2024,0.7470799
BWA,1977,1.3565725
BWA,1978,2.874909
BWA,1979,3.5014994
BWA,1980,3.2076206
BWA,1981,2.9782982
BWA,1982,2.6947439
BWA,1983,2.3263376
BWA,1984,2.4372709
BWA,1985,2.1847315
BWA,1986,2.6635957
BWA,1987,4.7944145
BWA,1988,4.899677
BWA,1989,3.5690098
BWA,1990,4.445158
BWA,1991,4.60347
BWA,1992,4.482809
BWA,1993,4.933492
BWA,1994,4.0081205
BWA,1995,3.5064797
BWA,1996,2.8995216
BWA,1997,3.1972046
BWA,1998,3.779399
BWA,1999,3.092074
BWA,2000,3.1912432
BWA,2001,3.831223
BWA,2002,4.1102066
BWA,2003,4.0073667
BWA,2004,3.5058742
BWA,2005,2.858004
BWA,2006,2.7545462
BWA,2007,2.9000146
BWA,2008,3.0976205
BWA,2009,3.2628207
BWA,2010,2.75908
BWA,2011,2.40443
BWA,2012,2.3437722
BWA,2013,2.147171
BWA,2014,2.211997
BWA,2015,2.8251944
BWA,2016,3.4106627
BWA,2017,3.248579
BWA,2018,2.9247594
BWA,2019,3.0812225
BWA,2020,3.3347878
BWA,2021,3.0455694
BWA,2022,2.517783
BWA,2023,2.456259
BWA,2024,2.8339279
BRA,1953,3.5955057
BRA,1957,4.403521
BRA,1958,4.0675206
BRA,1959,2.9633634
BRA,1960,2.6791346
BRA,1961,2.3640661
BRA,1962,2.3986833
BRA,1963,2.2608392
BRA,1964,2.014498
BRA,1965,3.3520923
BRA,1966,3.0219815
BRA,1967,2.856972
BRA,1968,2.6497402
BRA,1969,2.61559
BRA,1970,2.8872895
BRA,1971,2.619047
BRA,1972,2.435812
BRA,1973,2.1546512
BRA,1974,1.9413534
BRA,1975,1.9721438
BRA,1976,2.0027533
BRA,1977,1.6877266
BRA,1978,1.5996715
BRA,1979,1.5219316
BRA,1980,1.1384344
BRA,1981,1.1431488
BRA,1982,1.3035344
BRA,1983,1.2545804
BRA,1984,1.1995411
BRA,1985,1.4295231
BRA,1986,1.2203887
BRA,1987,1.7439941
BRA,1988,2.1180723
BRA,1989,2.68625
BRA,1990,2.363841
BRA,1991,1.9633334
BRA,1992,1.5215288
BRA,1993,1.9279228
BRA,1994,2.0160077
BRA,1995,1.8621371
BRA,1996,1.6548434
BRA,1997,1.5776883
BRA,1998,1.662292
BRA,1999,1.6454747
BRA,2000,1.7307261
BRA,2001,1.9518825
BRA,2002,1.8957711
BRA,2003,1.5034776
BRA,2004,1.4612684
BRA,2005,1.5240135
BRA,2006,1.481085
BRA,2007,1.4662921
BRA,2008,1.4419241
BRA,2009,1.5386256
BRA,2010,1.539407
BRA,2011,1.4118512
BRA,2012,1.3786565
BRA,2013,1.3294461
BRA,2014,1.3302444
BRA,2015,1.3655171
BRA,2016,1.3479755
BRA,2017,1.4140216
BRA,2018,1.4696777
BRA,2019,1.3827972
BRA,2020,1.3266603
BRA,2021,1.1490377
BRA,2022,1.0524008
BRA,2023,1.0023754
BRA,2024,0.9727745
IOT,2023,
VGB,2023,
BRN,1971,4.9958534
BRN,1972,3.8200629
BRN,1973,3.2823067
BRN,1974,2.032337
BRN,1975,3.5334249
BRN,1976,4.7552686
BRN,1977,4.137172
BRN,1978,4.5957146
BRN,1979,6.115366
BRN,1980,2.8888721
BRN,1981,3.556182
BRN,1982,3.9631803
BRN,1983,3.0463202
BRN,1984,2.5740843
BRN,1985,2.8877883
BRN,1986,4.6707296
BRN,1987,3.792515
BRN,1988,6.629977
BRN,1989,6.2104363
BRN,1990,6.437735
BRN,1991,6.40435
BRN,1992,6.245145
BRN,1993,5.7402315
BRN,1994,5.9824715
BRN,1995,5.477266
BRN,1996,6.2494936
BRN,1997,7.1839647
BRN,1998,7.529844
BRN,1999,6.1304183
BRN,2000,4.0692053
BRN,2001,3.8863976
BRN,2002,3.8707826
BRN,2003,3.7114196
BRN,2004,2.53273
BRN,2005,2.3494277
BRN,2006,2.3039632
BRN,2007,2.3801522
BRN,2008,2.2617924
BRN,2009,2.941072
BRN,2010,2.8504877
BRN,2011,2.2422414
BRN,2012,2.1590345
BRN,2013,2.2775075
BRN,2014,3.0868611
BRN,2015,3.2792904
BRN,2016,3.5393846
BRN,2017,2.8651285
BRN,2018,2.6366124
BRN,2019,3.078587
BRN,2020,3.634292
BRN,2021,3.2363675
BRN,2022,2.6119301
BRN,2023,2.9760175
BRN,2024,3.577816
BGR,1989,4.3962708
BGR,1990,3.8334436
BGR,1991,3.0432315
BGR,1992,2.9726338
BGR,1993,2.6092715
BGR,1994,2.4926174
BGR,1995,1.6383458
BGR,1996,1.7374296
BGR,1997,2.1594803
BGR,1998,2.1315162
BGR,1999,2.619501
BGR,2000,2.6524556
BGR,2001,2.8625195
BGR,2002,2.7796767
BGR,2003,2.6912014
BGR,2004,2.3737118
BGR,2005,2.2353501
BGR,2006,2.0817618
BGR,2007,2.2285397
BGR,2008,2.131864
BGR,2009,1.7395115
BGR,2010,1.6424615
BGR,2011,1.3140002
BGR,2012,1.329819
BGR,2013,1.4540428
BGR,2014,1.3096023
BGR,2015,1.2459335
BGR,2016,1.2438458
BGR,2017,1.2222085
BGR,2018,1.4510621
BGR,2019,3.1449509
BGR,2020,1.5856183
BGR,2021,1.5107237
BGR,2022,1.587075
BGR,2023,1.944583
BGR,2024,2.1494734
BFA,1960,0.6820175
BFA,1961,0.8343685
BFA,1962,2.3457031
BFA,1963,2.383057
BFA,1964,2.6051586
BFA,1965,1.5248227
BFA,1966,1.6494846
BFA,1967,1.3250729
BFA,1968,1.1784811
BFA,1969,1.2467223
BFA,1970,1.1722392
BFA,1971,1.1771654
BFA,1972,1.1398537
BFA,1973,1.2351868
BFA,1974,1.1519084
BFA,1975,2.8111837
BFA,1976,3.1238286
BFA,1977,3.0432665
BFA,1978,3.283146
BFA,1979,2.698614
BFA,1980,2.7466912
BFA,1981,2.8426898
BFA,1982,3.0033038
BFA,1983,2.9321835
BFA,1984,3.0171673
BFA,1985,1.8365254
BFA,1986,2.6218934
BFA,1987,2.2525864
BFA,1988,2.3108127
BFA,1989,2.7407742
BFA,1990,2.704893
BFA,1991,2.1668694
BFA,1992,2.0496516
BFA,1993,1.8625299
